,tweet,label,tweet_clean,tokens,stopwords,tweet_tokens_stopwords_stemmed,detokenize
23,"Semua yg dibangun mubazir skrg ini. Siapa yg pakai jln tol dng harga BBM saat ini, siapa yg mau ke airport yg buanyak itu utk terbang kesana-kemari dng BBM yg meroket saat ini., daaan siapa yg mau invest ke Indonesia? dan siapa yg mau pinjamkan uang utk bayar utang jatuh tempo??",-1,semua yg dibangun mubazir skrg ini siapa yg pakai jln tol dng harga bbm saat ini siapa yg mau ke airport yg buanyak itu utk terbang kesana kemari dng bbm yg meroket saat ini daaan siapa yg mau invest ke indonesia dan siapa yg mau pinjamkan uang utk bayar utang jatuh tempo ,"['semua', 'yg', 'dibangun', 'mubazir', 'skrg', 'ini', 'siapa', 'yg', 'pakai', 'jln', 'tol', 'dng', 'harga', 'bbm', 'saat', 'ini', 'siapa', 'yg', 'mau', 'ke', 'airport', 'yg', 'buanyak', 'itu', 'utk', 'terbang', 'kesana', 'kemari', 'dng', 'bbm', 'yg', 'meroket', 'saat', 'ini', 'daaan', 'siapa', 'yg', 'mau', 'invest', 'ke', 'indonesia', 'dan', 'siapa', 'yg', 'mau', 'pinjamkan', 'uang', 'utk', 'bayar', 'utang', 'jatuh', 'tempo']","['yg', 'dibangun', 'mubazir', 'skrg', 'yg', 'pakai', 'jln', 'tol', 'dng', 'harga', 'bbm', 'yg', 'airport', 'yg', 'buanyak', 'utk', 'terbang', 'kesana', 'kemari', 'dng', 'bbm', 'yg', 'meroket', 'daaan', 'yg', 'invest', 'indonesia', 'yg', 'pinjamkan', 'uang', 'utk', 'bayar', 'utang', 'jatuh', 'tempo']","['yg', 'bangun', 'mubazir', 'skrg', 'yg', 'pakai', 'jln', 'tol', 'dng', 'harga', 'bbm', 'yg', 'airport', 'yg', 'buanyak', 'utk', 'terbang', 'kesana', 'kemari', 'dng', 'bbm', 'yg', 'roket', 'daaan', 'yg', 'invest', 'indonesia', 'yg', 'pinjam', 'uang', 'utk', 'bayar', 'utang', 'jatuh', 'tempo']",yg bangun mubazir skrg yg pakai jln tol dng harga bbm yg airport yg buanyak utk terbang kesana kemari dng bbm yg roket daaan yg invest indonesia yg pinjam uang utk bayar utang jatuh tempo
24,"Senin 26 September 2022 
Selamat Pagi #Indonesia ... tetap semangat, walaupun industri melambat, investasi mangkrak, inflasi tinggi, dan PHK melanda. Jangan lupa utang makin bertambah dan demo Tolak Kenaikan Harga #BBM memasuki pekan ke-4. #Nalar ... ✊ https://t.co/Z3Mp3Snpvc",-1,senin  september  selamat pagi tetap semangat walaupun industri melambat investasi mangkrak inflasi tinggi dan phk melanda jangan lupa utang makin bertambah dan demo tolak kenaikan harga memasuki pekan ke  ,"['senin', 'september', 'selamat', 'pagi', 'tetap', 'semangat', 'walaupun', 'industri', 'melambat', 'investasi', 'mangkrak', 'inflasi', 'tinggi', 'dan', 'phk', 'melanda', 'jangan', 'lupa', 'utang', 'makin', 'bertambah', 'dan', 'demo', 'tolak', 'kenaikan', 'harga', 'memasuki', 'pekan', 'ke']","['senin', 'september', 'selamat', 'pagi', 'semangat', 'industri', 'melambat', 'investasi', 'mangkrak', 'inflasi', 'phk', 'melanda', 'lupa', 'utang', 'bertambah', 'demo', 'tolak', 'kenaikan', 'harga', 'memasuki', 'pekan']","['senin', 'september', 'selamat', 'pagi', 'semangat', 'industri', 'lambat', 'investasi', 'mangkrak', 'inflasi', 'phk', 'landa', 'lupa', 'utang', 'tambah', 'demo', 'tolak', 'naik', 'harga', 'pasuk', 'pekan']",senin september selamat pagi semangat industri lambat investasi mangkrak inflasi phk landa lupa utang tambah demo tolak naik harga pasuk pekan
25,"Ketua Umum PDIP Megawati Soekarnoputri mengatakan pemerintahan Presiden Jokowi memang perlu menaikkan harga BBM subsidi. Jika tidak, kata Megawati, situasi akan menjadi lebih sulit.

Partai wong licik

 #PejabatLaknat
#PejabatLaknat https://t.co/4ityjxAfvv",1,ketua umum pdip megawati soekarnoputri mengatakan pemerintahan presiden jokowi memang perlu menaikkan harga bbm subsidi jika tidak kata megawati situasi akan menjadi lebih sulit partai wong licik ,"['ketua', 'umum', 'pdip', 'megawati', 'soekarnoputri', 'mengatakan', 'pemerintahan', 'presiden', 'jokowi', 'memang', 'perlu', 'menaikkan', 'harga', 'bbm', 'subsidi', 'jika', 'tidak', 'kata', 'megawati', 'situasi', 'akan', 'menjadi', 'lebih', 'sulit', 'partai', 'wong', 'licik']","['ketua', 'pdip', 'megawati', 'soekarnoputri', 'pemerintahan', 'presiden', 'jokowi', 'menaikkan', 'harga', 'bbm', 'subsidi', 'megawati', 'situasi', 'sulit', 'partai', 'licik']","['ketua', 'pdip', 'megawati', 'soekarnoputri', 'perintah', 'presiden', 'jokowi', 'naik', 'harga', 'bbm', 'subsidi', 'megawati', 'situasi', 'sulit', 'partai', 'licik']",ketua pdip megawati soekarnoputri perintah presiden jokowi naik harga bbm subsidi megawati situasi sulit partai licik
26,"Jelas Tuntutannya Batalkan Kenaikan Harga BBM, Batalkan UU Omnibuslaw, Turunkan Harga Sembako, Tolak RUUKUHP..!!! atau Pak de Mundur aja..!!! https://t.co/6fhxLYCR0i",-1,jelas tuntutannya batalkan kenaikan harga bbm batalkan uu omnibuslaw turunkan harga sembako tolak ruukuhp atau pak de mundur aja ,"['jelas', 'tuntutannya', 'batalkan', 'kenaikan', 'harga', 'bbm', 'batalkan', 'uu', 'omnibuslaw', 'turunkan', 'harga', 'sembako', 'tolak', 'ruukuhp', 'atau', 'pak', 'de', 'mundur', 'aja']","['tuntutannya', 'batalkan', 'kenaikan', 'harga', 'bbm', 'batalkan', 'uu', 'omnibuslaw', 'turunkan', 'harga', 'sembako', 'tolak', 'ruukuhp', 'de', 'mundur', 'aja']","['tuntut', 'batal', 'naik', 'harga', 'bbm', 'batal', 'uu', 'omnibuslaw', 'turun', 'harga', 'sembako', 'tolak', 'ruukuhp', 'de', 'mundur', 'aja']",tuntut batal naik harga bbm batal uu omnibuslaw turun harga sembako tolak ruukuhp de mundur aja
27,"#BioskopWarga ANGIN TIMUR tentang nelayan, harga BBM, dan oligarki di pesisir sedang musim nobar.

Terima kasih kawan-kawan penyelenggara di berbagai kota yang secara swadaya menggelar layar dengan tiket sukarela. https://t.co/zgzciRpcXI",0, angin timur tentang nelayan harga bbm dan oligarki di pesisir sedang musim nobar terima kasih kawan kawan penyelenggara di berbagai kota yang secara swadaya menggelar layar dengan tiket sukarela ,"['angin', 'timur', 'tentang', 'nelayan', 'harga', 'bbm', 'dan', 'oligarki', 'di', 'pesisir', 'sedang', 'musim', 'nobar', 'terima', 'kasih', 'kawan', 'kawan', 'penyelenggara', 'di', 'berbagai', 'kota', 'yang', 'secara', 'swadaya', 'menggelar', 'layar', 'dengan', 'tiket', 'sukarela']","['angin', 'timur', 'nelayan', 'harga', 'bbm', 'oligarki', 'pesisir', 'musim', 'nobar', 'terima', 'kasih', 'kawan', 'kawan', 'penyelenggara', 'kota', 'swadaya', 'menggelar', 'layar', 'tiket', 'sukarela']","['angin', 'timur', 'nelayan', 'harga', 'bbm', 'oligarki', 'pesisir', 'musim', 'nobar', 'terima', 'kasih', 'kawan', 'kawan', 'selenggara', 'kota', 'swadaya', 'gelar', 'layar', 'tiket', 'sukarela']",angin timur nelayan harga bbm oligarki pesisir musim nobar terima kasih kawan kawan selenggara kota swadaya gelar layar tiket sukarela
28,"Pemerintah didesak untuk segera menurunkan harga BBM lantaran harga minyak dunia saat ini kembali turun. Tercatat harga minyak dunia berada di level 86,15 dolar AS per barel untuk Brent dan 78,74 dolar AS per barel untuk West Texas Intermediate (WTI).
https://t.co/M74ncMjlEc",0,pemerintah didesak untuk segera menurunkan harga bbm lantaran harga minyak dunia saat ini kembali turun tercatat harga minyak dunia berada di level   dolar as per barel untuk brent dan   dolar as per barel untuk west texas intermediate wti ,"['pemerintah', 'didesak', 'untuk', 'segera', 'menurunkan', 'harga', 'bbm', 'lantaran', 'harga', 'minyak', 'dunia', 'saat', 'ini', 'kembali', 'turun', 'tercatat', 'harga', 'minyak', 'dunia', 'berada', 'di', 'level', 'dolar', 'as', 'per', 'barel', 'untuk', 'brent', 'dan', 'dolar', 'as', 'per', 'barel', 'untuk', 'west', 'texas', 'intermediate', 'wti']","['pemerintah', 'didesak', 'menurunkan', 'harga', 'bbm', 'lantaran', 'harga', 'minyak', 'dunia', 'turun', 'tercatat', 'harga', 'minyak', 'dunia', 'level', 'dolar', 'as', 'barel', 'brent', 'dolar', 'as', 'barel', 'west', 'texas', 'intermediate', 'wti']","['perintah', 'desak', 'turun', 'harga', 'bbm', 'lantar', 'harga', 'minyak', 'dunia', 'turun', 'catat', 'harga', 'minyak', 'dunia', 'level', 'dolar', 'as', 'barel', 'brent', 'dolar', 'as', 'barel', 'west', 'texas', 'intermediate', 'wti']",perintah desak turun harga bbm lantar harga minyak dunia turun catat harga minyak dunia level dolar as barel brent dolar as barel west texas intermediate wti
29,Harga BBM tetap MEROKET https://t.co/2NWwfZpOIV,0,harga bbm tetap meroket ,"['harga', 'bbm', 'tetap', 'meroket']","['harga', 'bbm', 'meroket']","['harga', 'bbm', 'roket']",harga bbm roket
30,"Harga BBM naik saja sudah membuat beaya perjalanan darat naik.
Kalau ditambah tarif toll naik, semakin kurang atraktif jadinya.
Lagipula apa alasan menaikkan tarif toll? Apa kaitannya dgn kenaikan harga BBM?
Bukankah tarif toll setiap 2 tahun naik walau harga BBM tak berubah?",-1,harga bbm naik saja sudah membuat beaya perjalanan darat naik kalau ditambah tarif toll naik semakin kurang atraktif jadinya lagipula apa alasan menaikkan tarif toll apa kaitannya dgn kenaikan harga bbm bukankah tarif toll setiap  tahun naik walau harga bbm tak berubah ,"['harga', 'bbm', 'naik', 'saja', 'sudah', 'membuat', 'beaya', 'perjalanan', 'darat', 'naik', 'kalau', 'ditambah', 'tarif', 'toll', 'naik', 'semakin', 'kurang', 'atraktif', 'jadinya', 'lagipula', 'apa', 'alasan', 'menaikkan', 'tarif', 'toll', 'apa', 'kaitannya', 'dgn', 'kenaikan', 'harga', 'bbm', 'bukankah', 'tarif', 'toll', 'setiap', 'tahun', 'naik', 'walau', 'harga', 'bbm', 'tak', 'berubah']","['harga', 'bbm', 'beaya', 'perjalanan', 'darat', 'ditambah', 'tarif', 'toll', 'atraktif', 'lagipula', 'alasan', 'menaikkan', 'tarif', 'toll', 'kaitannya', 'dgn', 'kenaikan', 'harga', 'bbm', 'tarif', 'toll', 'harga', 'bbm', 'berubah']","['harga', 'bbm', 'beaya', 'jalan', 'darat', 'tambah', 'tarif', 'toll', 'atraktif', 'lagipula', 'alas', 'naik', 'tarif', 'toll', 'kait', 'dgn', 'naik', 'harga', 'bbm', 'tarif', 'toll', 'harga', 'bbm', 'ubah']",harga bbm beaya jalan darat tambah tarif toll atraktif lagipula alas naik tarif toll kait dgn naik harga bbm tarif toll harga bbm ubah
31,"Dhanil, mahasiswa ITB peserta Olimpiade APBN 2022 yg diselenggarakan oleh Kemenkeu kritik Menkeu. Kenaikan harga BBM bersubsidi adalah kebijakan pemerintah yg tdk berempati
 https://t.co/hoLXkjdf0A

Dahnil cerdas. Ada alternatif kok tanpa tambah beban rakyat. Kurangi bunga utang",0,dhanil mahasiswa itb peserta olimpiade apbn  yg diselenggarakan oleh kemenkeu kritik menkeu kenaikan harga bbm bersubsidi adalah kebijakan pemerintah yg tdk berempati dahnil cerdas ada alternatif kok tanpa tambah beban rakyat kurangi bunga utang,"['dhanil', 'mahasiswa', 'itb', 'peserta', 'olimpiade', 'apbn', 'yg', 'diselenggarakan', 'oleh', 'kemenkeu', 'kritik', 'menkeu', 'kenaikan', 'harga', 'bbm', 'bersubsidi', 'adalah', 'kebijakan', 'pemerintah', 'yg', 'tdk', 'berempati', 'dahnil', 'cerdas', 'ada', 'alternatif', 'kok', 'tanpa', 'tambah', 'beban', 'rakyat', 'kurangi', 'bunga', 'utang']","['dhanil', 'mahasiswa', 'itb', 'peserta', 'olimpiade', 'apbn', 'yg', 'diselenggarakan', 'kemenkeu', 'kritik', 'menkeu', 'kenaikan', 'harga', 'bbm', 'bersubsidi', 'kebijakan', 'pemerintah', 'yg', 'tdk', 'berempati', 'dahnil', 'cerdas', 'alternatif', 'beban', 'rakyat', 'kurangi', 'bunga', 'utang']","['dhanil', 'mahasiswa', 'itb', 'serta', 'olimpiade', 'apbn', 'yg', 'selenggara', 'kemenkeu', 'kritik', 'menkeu', 'naik', 'harga', 'bbm', 'subsidi', 'bijak', 'perintah', 'yg', 'tdk', 'empat', 'dahnil', 'cerdas', 'alternatif', 'beban', 'rakyat', 'kurang', 'bunga', 'utang']",dhanil mahasiswa itb serta olimpiade apbn yg selenggara kemenkeu kritik menkeu naik harga bbm subsidi bijak perintah yg tdk empat dahnil cerdas alternatif beban rakyat kurang bunga utang
32,"Harga minyak terjun bebas..

Menagih janji Erick Thohir turunkan harga BBM.. retweet keras gaes!! https://t.co/SMXyas8SuD",-1,harga minyak terjun bebas menagih janji erick thohir turunkan harga bbm retweet keras gaes ,"['harga', 'minyak', 'terjun', 'bebas', 'menagih', 'janji', 'erick', 'thohir', 'turunkan', 'harga', 'bbm', 'retweet', 'keras', 'gaes']","['harga', 'minyak', 'terjun', 'bebas', 'menagih', 'janji', 'erick', 'thohir', 'turunkan', 'harga', 'bbm', 'retweet', 'keras', 'gaes']","['harga', 'minyak', 'terjun', 'bebas', 'tagih', 'janji', 'erick', 'thohir', 'turun', 'harga', 'bbm', 'retweet', 'keras', 'gaes']",harga minyak terjun bebas tagih janji erick thohir turun harga bbm retweet keras gaes
33,"Sudah berapa pekan rakyat demo menuntut harga BBM dan menyuarakan aspirasinya, justeru saya penasaran dengan sosok “ Saya Kangen Di demo.”

Ada yang tau, Skrg dimanakah sosok yang pernah berkata itu ?",-1,sudah berapa pekan rakyat demo menuntut harga bbm dan menyuarakan aspirasinya justeru saya penasaran dengan sosok saya kangen di demo ada yang tau skrg dimanakah sosok yang pernah berkata itu ,"['sudah', 'berapa', 'pekan', 'rakyat', 'demo', 'menuntut', 'harga', 'bbm', 'dan', 'menyuarakan', 'aspirasinya', 'justeru', 'saya', 'penasaran', 'dengan', 'sosok', 'saya', 'kangen', 'di', 'demo', 'ada', 'yang', 'tau', 'skrg', 'dimanakah', 'sosok', 'yang', 'pernah', 'berkata', 'itu']","['pekan', 'rakyat', 'demo', 'menuntut', 'harga', 'bbm', 'menyuarakan', 'aspirasinya', 'justeru', 'penasaran', 'sosok', 'kangen', 'demo', 'tau', 'skrg', 'dimanakah', 'sosok']","['pekan', 'rakyat', 'demo', 'tuntut', 'harga', 'bbm', 'suara', 'aspirasi', 'justeru', 'penasaran', 'sosok', 'kangen', 'demo', 'tau', 'skrg', 'mana', 'sosok']",pekan rakyat demo tuntut harga bbm suara aspirasi justeru penasaran sosok kangen demo tau skrg mana sosok
34,Sekian lama setelah BBM naik baru kali ini aq naik angkot terus liat harga ongkosnya ya Allah mengerihkan 🤣 https://t.co/GdZGA5esQ7,-1,sekian lama setelah bbm naik baru kali ini aq naik angkot terus liat harga ongkosnya ya allah mengerihkan ,"['sekian', 'lama', 'setelah', 'bbm', 'naik', 'baru', 'kali', 'ini', 'aq', 'naik', 'angkot', 'terus', 'liat', 'harga', 'ongkosnya', 'ya', 'allah', 'mengerihkan']","['sekian', 'bbm', 'kali', 'aq', 'angkot', 'liat', 'harga', 'ongkosnya', 'ya', 'allah', 'mengerihkan']","['sekian', 'bbm', 'kali', 'aq', 'angkot', 'liat', 'harga', 'ongkos', 'ya', 'allah', 'kerih']",sekian bbm kali aq angkot liat harga ongkos ya allah kerih
35,"Harga Minyak Anjlok US$78 per Barel, Pertamax Ikutan Turun?

Kita lihat apkah Ahok cs menurunkan hrg BBM, krn alasan mrk mnaikkan hrg BBM krn mngikuti hrg minyak dunia.

Jk tdk diturunkan artinya pejabat BUMN cq pertamina melakukan pembohongan publik! 😤😤😤",-1,harga minyak anjlok us  per barel pertamax ikutan turun kita lihat apkah ahok cs menurunkan hrg bbm krn alasan mrk mnaikkan hrg bbm krn mngikuti hrg minyak dunia jk tdk diturunkan artinya pejabat bumn cq pertamina melakukan pembohongan publik ,"['harga', 'minyak', 'anjlok', 'us', 'per', 'barel', 'pertamax', 'ikutan', 'turun', 'kita', 'lihat', 'apkah', 'ahok', 'cs', 'menurunkan', 'hrg', 'bbm', 'krn', 'alasan', 'mrk', 'mnaikkan', 'hrg', 'bbm', 'krn', 'mngikuti', 'hrg', 'minyak', 'dunia', 'jk', 'tdk', 'diturunkan', 'artinya', 'pejabat', 'bumn', 'cq', 'pertamina', 'melakukan', 'pembohongan', 'publik']","['harga', 'minyak', 'anjlok', 'us', 'barel', 'pertamax', 'ikutan', 'turun', 'lihat', 'apkah', 'ahok', 'cs', 'menurunkan', 'hrg', 'bbm', 'krn', 'alasan', 'mrk', 'mnaikkan', 'hrg', 'bbm', 'krn', 'mngikuti', 'hrg', 'minyak', 'dunia', 'jk', 'tdk', 'diturunkan', 'pejabat', 'bumn', 'cq', 'pertamina', 'pembohongan', 'publik']","['harga', 'minyak', 'anjlok', 'us', 'barel', 'pertamax', 'ikut', 'turun', 'lihat', 'apkah', 'ahok', 'cs', 'turun', 'hrg', 'bbm', 'krn', 'alas', 'mrk', 'mnaikkan', 'hrg', 'bbm', 'krn', 'mngikuti', 'hrg', 'minyak', 'dunia', 'jk', 'tdk', 'turun', 'jabat', 'bumn', 'cq', 'pertamina', 'bohong', 'publik']",harga minyak anjlok us barel pertamax ikut turun lihat apkah ahok cs turun hrg bbm krn alas mrk mnaikkan hrg bbm krn mngikuti hrg minyak dunia jk tdk turun jabat bumn cq pertamina bohong publik
36,"Part 1 Podcast Kedai Pena dengan Begawan Ekonomi Rizal Ramli 
ttg kenaikan harga BBM: Enak aja situ kemana-mana dibayarin negara, tapi nyaris 240 juta rakyat ngandelin motor.
Ekonomi terperangkap Pinjol internasional, cicilan bunga utang 405T, pokok 400T.
https://t.co/PshG9V6ql9",-1,part  podcast kedai pena dengan begawan ekonomi rizal ramli ttg kenaikan harga bbm enak aja situ kemana mana dibayarin negara tapi nyaris  juta rakyat ngandelin motor ekonomi terperangkap pinjol internasional cicilan bunga utang t pokok t ,"['part', 'podcast', 'kedai', 'pena', 'dengan', 'begawan', 'ekonomi', 'rizal', 'ramli', 'ttg', 'kenaikan', 'harga', 'bbm', 'enak', 'aja', 'situ', 'kemana', 'mana', 'dibayarin', 'negara', 'tapi', 'nyaris', 'juta', 'rakyat', 'ngandelin', 'motor', 'ekonomi', 'terperangkap', 'pinjol', 'internasional', 'cicilan', 'bunga', 'utang', 't', 'pokok', 't']","['part', 'podcast', 'kedai', 'pena', 'begawan', 'ekonomi', 'rizal', 'ramli', 'ttg', 'kenaikan', 'harga', 'bbm', 'enak', 'aja', 'situ', 'kemana', 'dibayarin', 'negara', 'juta', 'rakyat', 'ngandelin', 'motor', 'ekonomi', 'terperangkap', 'pinjol', 'internasional', 'cicilan', 'bunga', 'utang', 't', 'pokok', 't']","['part', 'podcast', 'kedai', 'pena', 'begawan', 'ekonomi', 'rizal', 'ramli', 'ttg', 'naik', 'harga', 'bbm', 'enak', 'aja', 'situ', 'mana', 'dibayarin', 'negara', 'juta', 'rakyat', 'ngandelin', 'motor', 'ekonomi', 'perangkap', 'pinjol', 'internasional', 'cicil', 'bunga', 'utang', 't', 'pokok', 't']",part podcast kedai pena begawan ekonomi rizal ramli ttg naik harga bbm enak aja situ mana dibayarin negara juta rakyat ngandelin motor ekonomi perangkap pinjol internasional cicil bunga utang t pokok t
37,"Kementerian ESDM sudah menetapkan harga batas atas dan bawah yg tujuannya untuk memproteksi Pertamina dari persaingan usaha yg sehat sehingga SPBU-SPBU asing tidak diperbolehkan menjual BBM dgn harga yg lebih murah. 
Sistem ekonomi kita jauh lebih kejam dari negara kapitalis.",0,kementerian esdm sudah menetapkan harga batas atas dan bawah yg tujuannya untuk memproteksi pertamina dari persaingan usaha yg sehat sehingga spbu spbu asing tidak diperbolehkan menjual bbm dgn harga yg lebih murah sistem ekonomi kita jauh lebih kejam dari negara kapitalis ,"['kementerian', 'esdm', 'sudah', 'menetapkan', 'harga', 'batas', 'atas', 'dan', 'bawah', 'yg', 'tujuannya', 'untuk', 'memproteksi', 'pertamina', 'dari', 'persaingan', 'usaha', 'yg', 'sehat', 'sehingga', 'spbu', 'spbu', 'asing', 'tidak', 'diperbolehkan', 'menjual', 'bbm', 'dgn', 'harga', 'yg', 'lebih', 'murah', 'sistem', 'ekonomi', 'kita', 'jauh', 'lebih', 'kejam', 'dari', 'negara', 'kapitalis']","['kementerian', 'esdm', 'menetapkan', 'harga', 'batas', 'yg', 'tujuannya', 'memproteksi', 'pertamina', 'persaingan', 'usaha', 'yg', 'sehat', 'spbu', 'spbu', 'asing', 'diperbolehkan', 'menjual', 'bbm', 'dgn', 'harga', 'yg', 'murah', 'sistem', 'ekonomi', 'kejam', 'negara', 'kapitalis']","['menteri', 'esdm', 'tetap', 'harga', 'batas', 'yg', 'tuju', 'proteksi', 'pertamina', 'saing', 'usaha', 'yg', 'sehat', 'spbu', 'spbu', 'asing', 'boleh', 'jual', 'bbm', 'dgn', 'harga', 'yg', 'murah', 'sistem', 'ekonomi', 'kejam', 'negara', 'kapitalis']",menteri esdm tetap harga batas yg tuju proteksi pertamina saing usaha yg sehat spbu spbu asing boleh jual bbm dgn harga yg murah sistem ekonomi kejam negara kapitalis
38,"BBM Terus Anjlok.
.
Hari ini harga minyak dunia sudah anjlok di bawah $ 80 per barel.
.
Saatnya Jokowi TURUNKAN BBM bersubsidi.  Tak ada alasan BBM untuk naik.
@PKSejahtera @hnurwahid @FPKSDPRRI https://t.co/1VO5EsLzmD",-1,bbm terus anjlok hari ini harga minyak dunia sudah anjlok di bawah  per barel saatnya jokowi turunkan bbm bersubsidi tak ada alasan bbm untuk naik ,"['bbm', 'terus', 'anjlok', 'hari', 'ini', 'harga', 'minyak', 'dunia', 'sudah', 'anjlok', 'di', 'bawah', 'per', 'barel', 'saatnya', 'jokowi', 'turunkan', 'bbm', 'bersubsidi', 'tak', 'ada', 'alasan', 'bbm', 'untuk', 'naik']","['bbm', 'anjlok', 'harga', 'minyak', 'dunia', 'anjlok', 'barel', 'jokowi', 'turunkan', 'bbm', 'bersubsidi', 'alasan', 'bbm']","['bbm', 'anjlok', 'harga', 'minyak', 'dunia', 'anjlok', 'barel', 'jokowi', 'turun', 'bbm', 'subsidi', 'alas', 'bbm']",bbm anjlok harga minyak dunia anjlok barel jokowi turun bbm subsidi alas bbm
39,"Lha piye toh,, harga minyak mentah bakal turun lagi, kok mas @jokowi masih ngotot naikkin harga BBM ? Pembantu2 situ itu banyakan ABS, doyan beri data palsu &amp; manipulatif, masak trend ginian aja ndak bisa diperkirakan ketika naikkan harga BBM ?👎",-1,lha piye toh harga minyak mentah bakal turun lagi kok mas masih ngotot naikkin harga bbm pembantu situ itu banyakan abs doyan beri data palsu manipulatif masak trend ginian aja ndak bisa diperkirakan ketika naikkan harga bbm ,"['lha', 'piye', 'toh', 'harga', 'minyak', 'mentah', 'bakal', 'turun', 'lagi', 'kok', 'mas', 'masih', 'ngotot', 'naikkin', 'harga', 'bbm', 'pembantu', 'situ', 'itu', 'banyakan', 'abs', 'doyan', 'beri', 'data', 'palsu', 'manipulatif', 'masak', 'trend', 'ginian', 'aja', 'ndak', 'bisa', 'diperkirakan', 'ketika', 'naikkan', 'harga', 'bbm']","['lha', 'piye', 'harga', 'minyak', 'mentah', 'turun', 'mas', 'ngotot', 'naikkin', 'harga', 'bbm', 'pembantu', 'situ', 'banyakan', 'abs', 'doyan', 'data', 'palsu', 'manipulatif', 'masak', 'trend', 'ginian', 'aja', 'ndak', 'naikkan', 'harga', 'bbm']","['lha', 'piye', 'harga', 'minyak', 'mentah', 'turun', 'mas', 'ngotot', 'naikkin', 'harga', 'bbm', 'bantu', 'situ', 'banyak', 'abs', 'doyan', 'data', 'palsu', 'manipulatif', 'masak', 'trend', 'ginian', 'aja', 'ndak', 'naik', 'harga', 'bbm']",lha piye harga minyak mentah turun mas ngotot naikkin harga bbm bantu situ banyak abs doyan data palsu manipulatif masak trend ginian aja ndak naik harga bbm
40,"Saudara2 sebungkus &amp; sekaretan 👉PA 212 &amp; FPI : 

Tolak kenaikan harga BBM hanyalah kedok, yg kalian mau adalah Jokowi yang turun. Simpan saja ide gila kalian, karena rakyat yg sesungguhnya masih cinta @jokowi bila perlu kami 3periodekan. Faham..!!! https://t.co/XoR7GlHl3Y",1,saudara sebungkus sekaretan pa  fpi tolak kenaikan harga bbm hanyalah kedok yg kalian mau adalah jokowi yang turun simpan saja ide gila kalian karena rakyat yg sesungguhnya masih cinta bila perlu kami periodekan faham ,"['saudara', 'sebungkus', 'sekaretan', 'pa', 'fpi', 'tolak', 'kenaikan', 'harga', 'bbm', 'hanyalah', 'kedok', 'yg', 'kalian', 'mau', 'adalah', 'jokowi', 'yang', 'turun', 'simpan', 'saja', 'ide', 'gila', 'kalian', 'karena', 'rakyat', 'yg', 'sesungguhnya', 'masih', 'cinta', 'bila', 'perlu', 'kami', 'periodekan', 'faham']","['saudara', 'sebungkus', 'sekaretan', 'pa', 'fpi', 'tolak', 'kenaikan', 'harga', 'bbm', 'kedok', 'yg', 'jokowi', 'turun', 'simpan', 'ide', 'gila', 'rakyat', 'yg', 'sesungguhnya', 'cinta', 'periodekan', 'faham']","['saudara', 'bungkus', 'karet', 'pa', 'fpi', 'tolak', 'naik', 'harga', 'bbm', 'kedok', 'yg', 'jokowi', 'turun', 'simpan', 'ide', 'gila', 'rakyat', 'yg', 'sungguh', 'cinta', 'periode', 'faham']",saudara bungkus karet pa fpi tolak naik harga bbm kedok yg jokowi turun simpan ide gila rakyat yg sungguh cinta periode faham
41,"Hari ini, Jum'at (23/9/2022) ribuan umat Islam memadati area Patung Kuda, Jakarta Pusat lokasi Aksi Bela Rakyat (Akbar) Gerakan Nasional Pengawal Rakyat (GNPR) Jilid II untuk menolak kenaikan harga BBM yang telah menimbulkan efek domino kenaikan harga kebutuhan pokok. https://t.co/xXUWEg0nuD",-1,hari ini jum at    ribuan umat islam memadati area patung kuda jakarta pusat lokasi aksi bela rakyat akbar gerakan nasional pengawal rakyat gnpr jilid ii untuk menolak kenaikan harga bbm yang telah menimbulkan efek domino kenaikan harga kebutuhan pokok ,"['hari', 'ini', 'jum', 'at', 'ribuan', 'umat', 'islam', 'memadati', 'area', 'patung', 'kuda', 'jakarta', 'pusat', 'lokasi', 'aksi', 'bela', 'rakyat', 'akbar', 'gerakan', 'nasional', 'pengawal', 'rakyat', 'gnpr', 'jilid', 'ii', 'untuk', 'menolak', 'kenaikan', 'harga', 'bbm', 'yang', 'telah', 'menimbulkan', 'efek', 'domino', 'kenaikan', 'harga', 'kebutuhan', 'pokok']","['jum', 'at', 'ribuan', 'umat', 'islam', 'memadati', 'area', 'patung', 'kuda', 'jakarta', 'pusat', 'lokasi', 'aksi', 'bela', 'rakyat', 'akbar', 'gerakan', 'nasional', 'pengawal', 'rakyat', 'gnpr', 'jilid', 'ii', 'menolak', 'kenaikan', 'harga', 'bbm', 'menimbulkan', 'efek', 'domino', 'kenaikan', 'harga', 'kebutuhan', 'pokok']","['jum', 'at', 'ribu', 'umat', 'islam', 'padat', 'area', 'patung', 'kuda', 'jakarta', 'pusat', 'lokasi', 'aksi', 'bela', 'rakyat', 'akbar', 'gera', 'nasional', 'awal', 'rakyat', 'gnpr', 'jilid', 'ii', 'tolak', 'naik', 'harga', 'bbm', 'timbul', 'efek', 'domino', 'naik', 'harga', 'butuh', 'pokok']",jum at ribu umat islam padat area patung kuda jakarta pusat lokasi aksi bela rakyat akbar gera nasional awal rakyat gnpr jilid ii tolak naik harga bbm timbul efek domino naik harga butuh pokok
